2005	9.700917	9.776083	9.625750
2006	9.532500	9.622500	9.442500
2007	9.732167	9.821667	9.642667
2008	9.431750	9.510667	9.352833
2009	9.505250	9.591167	9.419333
2010	9.703083	9.786500	9.619667
2011	9.516000	9.598000	9.434000
2012	9.507333	9.590750	9.423917
2013	9.606500	9.704167	9.508833
2014	9.570667	9.660833	9.480500
2015	9.831000	9.923167	9.738833
